"rowname","B1","B2","S9","H4","sex","species","body_region","L","a","b","C","h","carotenoid","indiv_rep"
"Acrocephalus_scirpaceus_b.Male.back",28.81285,0.071852493765586,0.633937785640572,0.688181273293473,"male","Acrocephalus_scirpaceus","back",7.11351156689828,3.1103769707945,4.10991373702979,5.15420564454649,52.8816148425119,0,"b"
"Acrocephalus_scirpaceus_b.Male.belly",109.67822,0.273511770573566,0.209960760639903,1.13194413795214,"male","Acrocephalus_scirpaceus","belly",26.061717239377,3.96340629695513,2.85170003224372,4.88270238173928,35.735293774494,0,"b"
"Acrocephalus_scirpaceus_b.Male.crown",28.27128,0.0705019451371571,0.54894336432798,0.726406498786297,"male","Acrocephalus_scirpaceus","crown",6.8420371887265,2.55732946084289,3.13487295858733,4.0456597036549,50.7935306473434,0,"b"
"Acrocephalus_scirpaceus_b.Male.tail",43.0465,0.107347880299252,0.542719086316714,0.653807750241434,"male","Acrocephalus_scirpaceus","tail",9.99520647892918,3.96930273503751,3.85945010796646,5.5363091801541,44.1960815494026,0,"b"
"Acrocephalus_scirpaceus_b.Male.throat",91.36224,0.227836009975062,0.298460508701473,1.06465027860947,"male","Acrocephalus_scirpaceus","throat",22.5631545769435,3.88072222789568,5.11175634991223,6.41794811376281,52.7951078265385,0,"b"
"Acrocephalus_scirpaceus_b.Male.wing_cov",36.39153,0.0907519451371571,0.597643304283786,0.687332773134364,"male","Acrocephalus_scirpaceus","cov",8.8241223578142,3.732487251496,4.51885615640785,5.86101715104855,50.4439562724334,0,"b"
"Acrocephalus_scirpaceus_c.Male.back",25.57329,0.0637737905236908,0.637968002638958,0.743261176279633,"male","Acrocephalus_scirpaceus","back",6.57245103948759,3.00224973767652,4.10248525823875,5.08368850161425,53.8028701421194,0,"c"
"Acrocephalus_scirpaceus_c.Male.belly",107.68087,0.268530847880299,0.300918172893688,1.06129472559886,"male","Acrocephalus_scirpaceus","belly",26.5052091578262,4.24114164952916,6.3644182422451,7.64807832423237,56.3211764310244,0,"c"
"Acrocephalus_scirpaceus_c.Male.crown",31.07917,0.0775041645885287,0.543638275499474,0.771844688463387,"male","Acrocephalus_scirpaceus","crown",7.56900397522137,2.80069890885665,3.17112988782359,4.2308366954444,48.5494944356841,0,"c"
"Acrocephalus_scirpaceus_c.Male.tail",23.61805,0.0588978802992519,0.611681990265008,0.64033752980796,"male","Acrocephalus_scirpaceus","tail",5.56853137226612,2.45455804881722,2.59573509545091,3.57249155363158,46.6012422867811,0,"c"
"Acrocephalus_scirpaceus_c.Male.throat",62.57037,0.156035835411471,0.181481089098422,1.19026973739942,"male","Acrocephalus_scirpaceus","throat",14.963076361535,2.1196184944941,1.08041795645686,2.37909342457077,27.00897787639,0,"c"
"Acrocephalus_scirpaceus_c.Male.wing_cov",33.27696,0.0829849376558603,0.604386995691344,0.68144558287033,"male","Acrocephalus_scirpaceus","cov",8.02544064247533,3.48104557587089,3.98225200740809,5.28923523316898,48.841995920512,0,"c"
"Acrocephalus_scirpaceus_d.Female.back",30.55869,0.0762062094763092,0.605478273340026,0.691630155121887,"female","Acrocephalus_scirpaceus","back",7.42942821387893,3.07270424447614,3.83157608209828,4.91146481682698,51.2723870311296,0,"d"
"Acrocephalus_scirpaceus_d.Female.belly",90.29889,0.225184264339152,0.154207021791768,1.18318483865557,"female","Acrocephalus_scirpaceus","belly",20.6349955667954,3.28458439410387,-0.1030032236079,3.28619906671283,358.203816430384,0,"d"
"Acrocephalus_scirpaceus_d.Female.crown",23.68043,0.0590534413965087,0.627852227453821,0.711910801805998,"female","Acrocephalus_scirpaceus","crown",5.91021016643386,2.49593520492988,3.45580955655034,4.26289951070313,54.1615543907533,0,"d"
"Acrocephalus_scirpaceus_d.Female.tail",20.22514,0.0504367581047382,0.600429645542428,0.679338846453327,"female","Acrocephalus_scirpaceus","tail",4.88108273874785,2.21401246692066,2.43520928679297,3.29121489334301,47.7239170821998,0,"d"
"Acrocephalus_scirpaceus_d.Female.throat",116.10874,0.289547980049875,0.144688207940861,1.19742552105653,"female","Acrocephalus_scirpaceus","throat",26.9224631593988,4.01120945295957,0.622836497591372,4.05927660775219,8.82606252873041,0,"d"
"Acrocephalus_scirpaceus_d.Female.wing_cov",39.96814,0.0996711720698254,0.548457087753134,0.618177901288821,"female","Acrocephalus_scirpaceus","cov",9.24235466979494,3.88148766018725,3.81139366369559,5.43991434820851,44.4779616549621,0,"d"
"Acrocephalus_scirpaceus_e.Female.back",30.45449,0.0759463591022444,0.425916184464317,0.790015748547632,"female","Acrocephalus_scirpaceus","back",7.09171839805331,2.15951791228852,1.84902502993139,2.84295817324275,40.5708392370295,0,"e"
"Acrocephalus_scirpaceus_e.Female.belly",102.86058,0.256510174563591,0.224536017615602,1.1337885421697,"female","Acrocephalus_scirpaceus","belly",24.3083484615018,3.73439784418408,2.3652055826146,4.42039870449239,32.3483956032918,0,"e"
"Acrocephalus_scirpaceus_e.Female.crown",16.27271,0.0405803241895262,0.555525533639557,0.888627550035756,"female","Acrocephalus_scirpaceus","crown",4.2313190338597,1.3873969437371,1.99738452990483,2.43195708017107,55.2158920377454,0,"e"
"Acrocephalus_scirpaceus_e.Female.tail",24.40507,0.0608605236907731,0.447988326037107,0.78644105124446,"female","Acrocephalus_scirpaceus","tail",5.70009806602582,1.80705971452991,1.51763660823007,2.35980628156571,40.0248017850984,0,"e"
"Acrocephalus_scirpaceus_e.Female.throat",79.89384,0.19923650872818,0.0298731798966651,1.41692468516554,"female","Acrocephalus_scirpaceus","throat",17.4017229804978,2.229568115798,-2.58270759916107,3.41194263224741,310.802983738369,0,"e"
"Acrocephalus_scirpaceus_e.Female.wing_cov",22.4707,0.0560366583541147,0.574548342267223,0.765613458605685,"female","Acrocephalus_scirpaceus","cov",5.59504183953563,2.13565932238577,2.77888444705515,3.50474528480719,52.4565993330819,0,"e"
"Acrocephalus_scirpaceus_f.Female.back",23.89448,0.0595872319201995,0.60633321338611,0.769081250320354,"female","Acrocephalus_scirpaceus","back",6.09910042712868,2.44084079861748,3.46912188955223,4.24175794792278,54.8701496092816,0,"f"
"Acrocephalus_scirpaceus_f.Female.belly",91.69523,0.228666408977556,0.310488871483585,1.05886618949949,"female","Acrocephalus_scirpaceus","belly",22.4201749339977,4.13592867176529,4.65627434137156,6.22790468135515,48.3869640478077,0,"f"
"Acrocephalus_scirpaceus_f.Female.crown",22.27292,0.0555434413965087,0.515295131408876,0.805204474316154,"female","Acrocephalus_scirpaceus","crown",5.50436742867468,1.96237987487774,2.33786434654809,3.05230150479698,49.9902395928025,0,"f"
"Acrocephalus_scirpaceus_f.Female.tail",21.00694,0.0523863840399003,0.501018791034639,0.730526031448462,"female","Acrocephalus_scirpaceus","tail",4.88931950997291,1.67687071877906,1.51241009973152,2.25815847921897,42.0480616196358,0,"f"
"Acrocephalus_scirpaceus_f.Female.throat",108.81087,0.271348802992519,0.0775152285962916,1.29798640773769,"female","Acrocephalus_scirpaceus","throat",23.7419143038158,3.46675773053987,-2.82219249784366,4.47025498793334,320.851908671582,0,"f"
"Acrocephalus_scirpaceus_f.Female.wing_cov",36.67929,0.0914695511221945,0.501887810140237,0.687773992215972,"female","Acrocephalus_scirpaceus","cov",8.51334944810772,3.10734439783383,2.91905128126119,4.26338475737083,43.2103909442882,0,"f"
"Acrocephalus_stentoreus_a.Male.back",21.34681,0.0532339401496259,0.634094012092842,0.690149936286957,"male","Acrocephalus_stentoreus","back",5.30248741817247,2.48167964788423,3.16814964568513,4.02441375260765,51.9276392544565,0,"a"
"Acrocephalus_stentoreus_a.Male.belly",55.18738,0.137624389027431,0.561953290870488,0.784234872199134,"male","Acrocephalus_stentoreus","belly",13.8312029116633,4.78087106407329,7.03126195296822,8.50266856831146,55.7864547030044,0,"a"
"Acrocephalus_stentoreus_a.Male.crown",12.78259,0.031876783042394,0.646341463414634,0.769915771045113,"male","Acrocephalus_stentoreus","crown",3.28764680119178,1.53756703346525,1.92625748027647,2.46466635931117,51.4026181923586,0,"a"
"Acrocephalus_stentoreus_a.Male.tail",28.78436,0.0717814463840399,0.513120977058921,0.651717809386851,"male","Acrocephalus_stentoreus","tail",6.56346296695068,2.42750485906676,2.03192306594357,3.16567389140231,39.9307407407752,0,"a"
"Acrocephalus_stentoreus_a.Male.throat",58.87488,0.146820149625935,0.49327470253492,0.863176001024825,"male","Acrocephalus_stentoreus","throat",14.7568616878755,4.18622472139321,6.32881465290425,7.58804140268219,56.517166267047,0,"a"
"Acrocephalus_stentoreus_a.Male.wing_cov",24.64886,0.0614684788029925,0.673409461663948,0.682111896666028,"male","Acrocephalus_stentoreus","cov",6.26823624387782,3.09295521738556,4.33904597386459,5.32857316174443,54.5179995842172,0,"a"
"Acrocephalus_stentoreus_b.Male.back",27.23347,0.0679138902743142,0.645428952437398,0.728318845862915,"male","Acrocephalus_stentoreus","back",6.87599937120742,3.02327188067414,4.08069169367065,5.07860389903245,53.4662737681493,0,"b"
